"Code","Name"
"P130","P130 автодорога Демидов - Рудня"
"P132","P132 Золотое кольцо"
"P133","P133 автодорога Ольша - Невель"
"P134","P134 автодорога Смоленск - Зубцов"
"P136","P136 автодорога Витязи - Нелидово"
"P137","P137 автодорога Сафоново - Рославль"
"P139","P139 автодорога Тула - Белев"
"P141","P141 автодорога Лапотково - Ефремов"
"P146","P146 автодорога Чекалин - Ханино"
"P148","P148 автодорога Щекино - Арсеньево"
"P151","P151 автодорога Ярославль - Рыбинск"
"P152","P152 автодорога Ростов - Нижний Новгород"
"P153","P153 автодорога Углич - Ростов"
"P157","P157 автодорога Урень - Котлас"
"P158","P158 автодорога Нижний Новгород - Саратов"
"P159","P159 автодорога Нижний Новгород - Яранск"
"P160","P160 автодорога Линда - Заволжье"
"P161","P161 автодорога Навашино - Выкса"
"P162","P162 автодорога Малиновка - Порецкое"
"P166","P166 автодорога Киров - Белая Холуница"
"P167","P167 автодорога Киров - Стрижи"
"P168","P168 автодорога Киров - Нижнеивкино"
"P169","P169 автодорога Киров - Вятские Поляны"
"P172","P172 автодорога Йошкар-Ола - Уржум"
"P173","P173 автодорога Йошкар-Ола - Кадикасы (М7)"
"P176","P176 Вятка"
"P178","P178 автодорога Саранск - Ульяновск"
"P179","P179 автодорога Саранск - Рузаевка"
"P18","P18 автодорога Беломорск - Пушной (Р21 ""Кола"")"
"P185","P185 автодорога Белгород - Россошь"
"P186","P186 автодорога Белгород - граница с Украиной"
"P187","P187 автодорога Новый Оскол - Ровеньки"
"P188","P188 автодорога Старый Оскол - Новый Оскол"
"P189","P189 автодорога Короча - Старый Оскол - Горшечное"
"P19","P19 автодорога Петрозаводск - Ошта"
"P190","P190 автодорога Лукьяновка - Тим"
"P193","P193 автодорога Воронеж - Тамбов"
"P194","P194 автодорога Девица - граница с Украиной"
"P196","P196 автодорога Постоялый (Р194) - Александровка Донская (М4)"
"P199","P199 автодорога Селиховы Дворы - граница с Украиной"
"P2","P2 автодорога Долматово - Пудож"
"P203","P203 Грязинское шоссе"
"P204","P204 автодорога Мичуринск - Липецк"
"P205","P205 автодорога Липецк - Данков"
"P208","P208 автодорога Тамбов - Пенза"
"P209","P209 автодорога Кирсанов - Пенза"
"P21","P21 Кола"
"P214","P214 автодорога Астрахань - Камызяк"
"P215","P215 автодорога Астрахань - Махачкала"
"P216","P216 автодорога Астрахань - Ставрополь"
"P217","P217 Кавказ"
"P22","P22 Каспий"
